Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
3;0;0,01875968;0,6566715;0,3180035;2,194627;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;1;0,02270634;0,5375369;0,4437494;1,822671;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;2;0,02921137;0,7619568;0,3075939;1,316745;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;3;0,03814793;1,266127;1,759335;1,810624;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;4;0,04630467;2,425723;2,228913;1,486461;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;5;0,05229626;2,753273;3,370718;3,329021;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;6;0,05333715;3,751101;3,55191;5,003343;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;7;0,05176999;4,837961;4,880481;6,785677;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;8;0,05712612;4,761278;6,18735;8,220873;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;9;0,0558207;1,488085;6,9372;7,2921;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;10;0,05170907;-1,360883;4,80596;9,785394;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;11;0,05912394;-1,325256;5,454121;9,639744;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;12;0,05801003;1,033325;5,649718;7,019353;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;13;0,06172751;4,065208;7,128481;3,894184;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;14;0,06775484;6,033436;7,439869;1,761687;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;15;0,0806029;8,914097;8,763755;-1,559769;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;16;0,08545169;9,085159;9,587427;-2,985852;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;17;0,08441393;9,705796;7,356154;-3,283919;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;18;0,08525963;8,167047;7,005308;-4,062603;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;19;0,09002449;6,547245;6,675558;-4,804948;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;20;0,09822003;5,521775;5,53136;-5,704582;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;21;2,180429;6,166932;4,738445;-8,028572;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;22;2,224079;5,689777;3,35347;-6,520687;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;23;2,268389;5,09973;3,371694;-8,79065;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;24;2,319252;3,473737;2,633024;-9,458328;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;25;2,330986;2,092514;1,556898;-9,821537;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;26;2,314738;0,2977159;-0,6489421;-10,42925;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;27;2,269331;-0,8474306;-3,050452;-10,1138;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;28;2,201807;-1,715204;-4,710682;-10,23634;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;29;2,11976;-2,633212;-5,927199;-10,29211;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;30;2,044348;-2,485958;-6,393154;-9,125787;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;31;1,9535;-2,374044;-6,812191;-6,790983;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;32;1,874935;-2,598653;-6,672894;-4,667495;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;33;1,789637;-3,022754;-6,706201;-4,132737;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;34;1,708374;-3,363018;-6,382881;-5,023194;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;35;1,62509;-4,352817;-7,219486;-4,978105;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;36;1,531027;-4,479491;-8,189469;-4,200675;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;37;1,447959;-4,689439;-8,639171;-3,370296;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;38;1,334704;-4,960447;-8,588703;-1,849258;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;39;1,236462;-4,494069;-8,234665;-0,1886827;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;40;1,15252;-4,53441;-7,846095;1,71528;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
3;41;1,033775;-2,802698;-8,025373;4,039684;False;False;(0.0, 1.3, 0.2);(0.0, 1.3, 0.2);0,001965922;
