Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
2;0;0,01742471;0,2570593;-0,5559407;-0,5927346;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;1;0,01317148;-0,2575544;0,3281644;-0,4104197;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;2;0,01096173;-0,7417801;1,567042;0,7532454;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;3;0,0169223;-1,06422;1,698443;0,8857029;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;4;0,02067184;-0,9926677;0,4498994;0,6405468;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;5;0,01737753;-0,5049208;-0,3949469;0,2692639;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;6;0,01144341;-0,03134692;-0,9245064;-0,1014717;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;7;0,000507644;-0,1471163;-0,7100825;1,055719;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;8;0,002010733;0,2854942;-0,314685;-0,03798099;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;9;0,005900449;-0,3213413;-0,6538819;0,6164993;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;10;0,004660666;-0,337093;0,4657412;1,648198;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;11;0,00342478;-0,4438957;0,8843974;1,998932;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;12;0,002681428;-0,5276133;0,6463999;2,235842;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;13;0,002675421;-1,00945;0,4228003;2,280029;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;14;0,001018121;-1,623903;0,4458767;2,478401;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;15;0,005537799;-1,707709;1,310318;2,297179;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;16;0,01548277;-0,9324702;1,345783;2,235254;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;17;0,01979203;-0,2772062;0,4771158;2,302867;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;18;0,01936026;0,0637303;-0,1671154;2,170102;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
2;19;0,01551077;1,046859;-0,4493272;2,761131;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.4, 0.1);0,01131202;
