Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
4;0;0,4494838;-4,074775;-4,071756;-1,535429;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;1;0,4121461;-3,889578;-3,197257;-0,2368234;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;2;0,3873067;-3,849063;-2,871262;0,738829;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;3;0,3400393;-3,297003;-2,497615;2,49191;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;4;0,2890661;-2,78371;-2,46489;3,814537;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;5;0,2432829;-2,226709;-2,036354;4,40518;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;6;0,1965214;-0,7454651;-1,430862;4,006224;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;7;0,1717263;0,6766396;-0,05816167;2,450024;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;8;0,1520532;1,748142;1,491958;0,9614011;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;9;0,1357024;2,490682;2,476064;-0,05587512;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;10;0,1423534;2,682089;2,48047;-0,3083693;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;11;0,1623271;2,537053;2,1064;0,1096506;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;12;0,1893253;2,602628;1,759308;0,9160349;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;13;0,222329;2,974821;1,970502;1,676618;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;14;0,2675523;3,62058;2,661744;1,549438;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;15;0,3300468;4,196232;3,501371;0,7645218;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;16;0,4041956;4,243217;4,621186;-1,231761;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;17;0,4845327;3,594385;4,979134;-3,017421;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;18;0,5604209;2,654487;4,315978;-3,85289;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;19;0,6156374;2,074913;3,311305;-3,568138;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;20;0,677967;1,414498;3,354194;-1,988271;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;21;0,7242553;1,041089;3,281693;-0,73106;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;22;0,7597464;0,9858122;3,082151;-0,4139015;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;23;0,7995048;0,6542336;2,3449;-0,5721154;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;24;0,8226235;0,2211244;1,40935;-0,5462235;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;25;0,8317058;-0,07573336;0,557613;-0,5060576;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;26;0,8253638;-1,141943;-0,8615016;0,06273577;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;27;0,7865613;-1,977768;-1,471947;2,155044;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;28;0,7514049;-1,49372;-1,686097;3,85071;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;29;0,7094355;-1,174726;-2,570314;4,802731;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;30;0,6549596;-2,043592;-3,691984;4,78899;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;31;0,5859991;-2,232086;-4,935344;4,080245;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;32;0,5149878;-2,316279;-5,966378;3,764383;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;33;0,4514281;-2,017967;-6,347056;4,006023;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;34;0,4220066;-1,272239;-5,738589;4,67828;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;35;0,4218755;-2,136979;-3,650966;4,928113;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;36;0,4374167;-3,05474;-1,151824;4,869924;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
4;37;0,4553342;-3,366919;-0,1696482;4,717813;False;False;(0.3, 1.4, 0.1);(0.4, 1.2, 0.5);0,412535;
