Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
4;0;0,001445122;-0,5775498;0,1651527;-0,1021082;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;1;0,00303198;-0,3515598;0,3262695;0,04057027;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;2;0,004527614;-0,09263387;0,4550973;0,4156478;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;3;0,006284259;0,09382654;0,4171441;0,9417259;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;4;0,006871388;0,1205227;0,4375247;1,273083;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;5;0,005227759;0,1613672;0,8440442;3,308276;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;6;0,004125427;0,2179471;0,8060907;4,090011;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;7;0,003830118;0,3440096;0,6218542;4,497386;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;8;0,004100841;0,1146955;0,6200545;4,443808;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;9;0,005983514;-0,1801235;0,5006346;4,351818;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;10;0,008118486;-0,1198735;0,7988318;4,325598;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;11;0,008799731;0,1830109;1,025521;4,29565;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;12;0,00787652;1,086498;2,208623;5,192719;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;13;0,00651213;1,540628;3,328547;6,291076;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;14;0,008402451;1,807484;4,474559;7,364947;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;15;0,01159093;2,336299;5,532431;8,408709;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;16;0,01550228;3,341784;6,308297;8,939792;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;17;0,02016536;3,984054;6,438139;8,371755;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;18;0,0246108;4,857067;6,284554;7,308215;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;19;0,03505173;5,714674;6,37278;5,189194;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;20;0,04449031;5,424641;6,283823;3,4395;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;21;0,04838382;5,249836;6,416835;2,652464;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;22;0,04773637;5,437907;5,781131;0,3407435;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;23;0,0436576;5,537035;5,255847;-1,054496;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;24;0,04130197;5,527717;4,826189;-2,016519;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;25;0,0420501;5,230501;4,730873;-3,541366;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;26;0,04432468;4,373847;4,46087;-4,21981;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;27;0,04618193;3,298912;3,867748;-4,637235;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;28;0,04803862;2,000689;3,175135;-4,747257;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;29;0,0481624;0,8657891;2,438838;-4,922042;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;30;0,04638157;0,1223632;1,520206;-5,653742;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;31;1,76188;0,3119985;-0,002066385;-6,377583;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;32;1,713799;0,6517311;-1,207364;-6,794019;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;33;1,659653;0,9140174;-1,576029;-7,702099;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;34;1,711375;0,5547376;-2,164453;-7,219187;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;35;1,672104;0,2892881;-2,10464;-6,883914;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;36;1,618364;-0,9348884;-2,117231;-6,257302;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;37;1,581881;-1,712071;-2,35998;-6,24176;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;38;1,548949;-1,488573;-2,823588;-5,785084;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;39;1,478771;-1,532331;-3,930263;-5,585782;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;40;1,413347;-2,034114;-4,862845;-4,847178;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;41;1,337501;-2,391533;-5,744383;-3,389045;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
4;42;1,255145;-2,538704;-5,936042;-2,027075;False;False;(0.2, 1.4, 0.1);(0.2, 1.2, 0.5);0,4160589;
