Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
1;0;0,02735042;0,06353379;-1,908584;0,5815121;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;1;0,02135834;0,1611771;-0,1826063;-0,9648088;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;2;0,01180848;0,03101775;1,184347;-0,3641565;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;3;0,0132975;-1,023281;1,306005;-0,2006572;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;4;0,01730865;-1,63812;1,522245;-0,05751865;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;5;0,01331814;0,07277903;0,07570231;0,3104292;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;6;0,007159962;2,373663;-1,014914;0,3764572;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;7;0,01690425;2,907963;1,235741;-0,1647674;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;8;0,02470923;-0,5912656;-1,15487;3,128256;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;9;0,02026827;-2,281681;0,5134017;3,476461;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;10;0,01565037;-2,361142;2,575427;4,305049;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;11;0,01231597;-1,8951;7,91457;4,083747;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;12;0,02694698;-2,22208;5,865967;5,040907;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;13;0,03046579;-1,438473;2,321557;6,253158;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;14;0,02481163;-0,5312074;2,82371;7,127779;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;15;0,02526891;-0,2883677;5,276783;7,282362;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;16;0,04061551;-1,437602;7,136615;7,065161;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;17;0,05309131;-3,440257;7,308781;7,308092;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;18;0,05203445;-4,800865;6,795125;6,562379;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;19;0,05246836;-5,642703;7,648656;5,34257;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;20;0,05738553;-5,996708;8,385188;4,636872;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;21;0,06645738;-5,992694;8,79518;3,281697;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;22;1,68943;-5,759992;8,621056;1,230728;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;23;1,787738;-6,075844;8,669763;0,05324805;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;24;1,896029;-5,463868;8,626164;-2,662496;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;25;1,955601;-4,650655;7,506443;-4,620356;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
