Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
3;0;0,00161294;-0,008924536;-0,3108641;-0,8539011;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;1;0,001132583;-0,03490973;-0,2053432;-0,5407999;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;2;0,0006548346;0,03924068;-0,05965393;-0,2285282;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;3;0,0005956091;0,123289;0,09444551;-0,00961028;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;4;0,001552353;0,1116417;0,4037655;0,5511647;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;5;0,001904062;0,1167307;0,6769792;1,268284;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;6;0,002198869;0,1498961;0,650774;1,587529;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;7;0,00396018;0,1931668;0,6717005;2,282561;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;8;0,01025271;-0,1116263;0,6039047;2,302976;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;9;0,02015897;-0,6827186;0,6720901;2,104936;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;10;0,02805374;-0,793421;0,2491414;1,43037;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;11;0,03136177;-0,5339677;0,183659;0,5059637;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;12;0,02966963;-0,08573323;-0,1076807;-0,2755215;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;13;0,02445602;0,2819307;-0,3153328;-0,5589705;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;14;0,01605256;0,7444854;-0,2017171;-0,2095839;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;15;0,01250029;0,7711511;0,2564423;0,5834054;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;16;0,01210686;0,5909069;0,8360306;1,894035;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;17;0,01185874;0,5176989;1,237323;3,376378;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;18;0,0127991;0,6226296;1,775676;4,196519;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;19;0,01472164;0,7734856;2,857248;5,910175;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;20;0,01717886;0,6943563;3,348144;6,664687;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;21;0,01804367;0,8698908;3,586182;7,093123;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;22;0,01545747;2,112399;3,967459;7,328128;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;23;0,01576169;3,479475;4,445528;7,476642;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;24;0,02295024;4,479354;5,785511;7,749321;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;25;0,03129273;4,986658;7,266422;8,828901;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;26;0,03528176;5,609742;8,228485;9,244833;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;27;0,04240568;6,602407;9,211673;8,844419;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;28;0,04888728;7,719337;9,81854;7,091231;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;29;0,05317874;8,348793;10;5,239082;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;30;0,06206292;8,817404;9,062528;1,854991;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;31;0,06935143;8,177807;7,771229;-1,388756;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;32;0,07335696;7,53618;6,430863;-3,487666;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;33;2,216091;7,216862;5,224426;-4,649357;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;34;2,263673;6,445945;4,412945;-5,941296;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;35;2,304156;6,21763;3,901175;-6,599256;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;36;2,278071;4,764851;3,51127;-8,385492;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;37;2,294161;4,028571;2,885648;-9,49428;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;38;2,296919;3,176894;0,975853;-10,51309;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;39;2,274607;1,509932;-0,6793917;-11,85984;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;40;2,240932;0,8719418;-2,773896;-11,26379;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;41;2,183262;-0,1837789;-4,267342;-11,28276;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;42;2,124713;-1,197967;-5,338789;-10,64685;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;43;2,048431;-2,212988;-6,025846;-9,484565;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;44;1,954109;-2,710314;-7,014051;-7,932914;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;45;1,869631;-2,930138;-7,121909;-6,600506;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;46;1,810159;-3,168816;-7,146631;-5,858153;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;47;1,698429;-3,308787;-7,453007;-5,143965;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;48;1,616158;-2,779609;-7,634537;-4,004432;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;49;1,570177;-3,460869;-7,759756;-4,015574;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;50;1,442262;-5,689;-8,020053;-3,430151;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;51;1,339772;-6,734315;-7,229246;-2,755466;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
3;52;1,240309;-8,032033;-5,330815;-1,982352;False;False;(-0.1, 1.4, 0.1);(-0.1, 1.3, 0.3);0,1836097;
