Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
1;0;0,007820918;-0,04907388;-1,098351;0,04815318;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;1;0,005918416;-0,1813831;0,5933862;0,06449217;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;2;0,004215195;-0,1907472;0,7284962;0,2350663;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;3;0,005971824;-0,4375185;0,6613187;0,5377275;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;4;0,01205933;-1,243893;0,9681626;-0,2157754;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;5;0,01635564;-1,369523;0,6987739;-1,481251;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;6;0,01724952;-1,275961;0,336788;-1,104314;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;7;0,01868064;1,03953;-0,8581676;-1,361611;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;8;0,01294884;0,7988868;-2,414799;-0,7105778;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;9;0,008280687;-0,1519561;-2,657215;-0,4031619;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;10;0,01666554;-0,05258913;-1,567949;-0,1082207;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;11;0,02258759;0,3406394;-0,2527567;0,19074;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;12;0,02138796;0,4984809;1,42862;0,6005598;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;13;0,01354255;0,5947739;2,37824;0,8349708;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;14;0,006892148;0,6195083;2,286103;0,70926;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;15;0,007265146;0,3567518;1,374765;0,2680214;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
1;16;0,009232067;0,3042212;0,2253624;0,04869;False;False;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
