Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
2;46;0,6730419;2,526273;-3,683668;0,2625484;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;47;0,6283861;1,902827;-3,15008;1,520593;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;48;0,5970948;1,869393;-2,317825;1,747274;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;49;0,56038;2,424809;-1,085165;0,6341425;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;50;0,5256436;3,17363;-0,3534594;-1,087527;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;51;0,5000343;3,246886;-0,3981602;-2,136266;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;52;0,4847015;2,97554;-0,5197458;-2,678323;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;53;0,4828835;1,982316;-0,3159269;-1,905173;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;54;0,4772714;1,590189;-0,01589533;-0,3023746;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;55;0,4652905;1,582225;0,3843564;0,2102309;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;56;0,439254;2,234156;1,197668;0,05367276;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;57;0,4240556;2,678039;0,9923461;-0,4289786;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;58;0,4096186;2,747314;-0,5505235;-0,609795;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;59;0,4002385;1,822544;-1,8742;-0,01989836;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;60;0,389239;0,2870284;-2,91126;0,8521447;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;61;0,3895096;-0,3181541;-4,156579;1,315943;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;62;0,388113;-0,2602609;-4,418781;2,661755;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;63;0,3776134;0,5377843;-4,234755;3,484983;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;64;0,3690384;1,588375;-3,22364;3,0818;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;65;0,3655336;2,438599;-2,772228;2,643194;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;66;0,3262981;7,786715;4,908134;4,90214;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;67;0,1740101;7,186789;10,02872;6,613943;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;68;0,1455916;0,9405178;4,394207;8,397315;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;69;0,1970907;-2,633198;-2,395427;7,17838;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;70;0,2665927;1,632065;-2,444133;0,4375338;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;71;0,268348;-0,1316831;-3,974443;-4,001362;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;72;0,2701715;-1,593001;-4,664556;-8,175517;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;73;0,2901583;-0,1241755;-2,734757;-5,881608;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;74;0,2885077;0,2954583;2,575655;-1,932135;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;75;0,2388331;0,370371;5,300278;0,08259683;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;76;0,1696776;-1,45754;4,040388;0,3627781;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;77;0,1257592;-1,86871;2,402926;-0,01588565;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;78;0,0934766;-1,39473;1,801102;-0,2600535;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;79;0,07575171;-0,9160127;1,675152;-0,1089952;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;80;0,0620695;-0,2409507;1,073663;0,3234082;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;81;0,05103698;0,1500382;0,796147;0,5547406;False;True;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
